specification,theme_chinese,theme,date,horizon_months,predicted_with_policy,counterfactual_no_policy,effect_share,effect_pp,se_effect_pp,ci_low_pp,ci_high_pp,relative_change_pct
anylabel_share_aug2021,学业负担与学校教学,Schoolwork Burden,2021-08-01,0,0.19898556231430975,0.23243802557072027,-0.03345246325641052,-3.345246325641052,3.342432321294795,-9.89641367537885,3.205921024096746,-14.391992521134398
anylabel_share_aug2021,学业负担与学校教学,Schoolwork Burden,2022-08-01,12,0.19010151132164904,0.20899356384103082,-0.01889205251938178,-1.889205251938178,2.133533806920022,-6.070931513501421,2.292521009625065,-9.039537951394456
anylabel_share_aug2021,学业负担与学校教学,Schoolwork Burden,2023-08-01,24,0.18152421743313119,0.18733664547679446,-0.005812428043663276,-0.5812428043663276,2.44787386280402,-5.379075575462208,4.216589966729552,-3.1026647396562175
anylabel_share_aug2021,学业负担与学校教学,Schoolwork Burden,2024-08-01,36,0.17325114045965206,0.16744884575932617,0.005802294700325894,0.5802294700325894,3.724291320792724,-6.71938151872115,7.879840458786329,3.465114778196512
anylabel_share_aug2021,校外培训与隐形变异,Shadow Education,2021-08-01,0,0.015164663025614264,0.05399798245793054,-0.03883331943231628,-3.883331943231628,1.0600000524775095,-5.960932046087546,-1.8057318403757092,-71.91624143100356
anylabel_share_aug2021,校外培训与隐形变异,Shadow Education,2022-08-01,12,0.022024831134472924,0.051387222802092215,-0.02936239166761929,-2.936239166761929,1.1388896459271123,-5.1684628727790685,-0.7040154607447894,-57.13947955643132
anylabel_share_aug2021,校外培训与隐形变异,Shadow Education,2023-08-01,24,0.03188790755445964,0.04889616693010826,-0.01700825937564862,-1.7008259375648622,1.177041361235055,-4.00782700558557,0.6061751304558459,-34.784443124059344
anylabel_share_aug2021,校外培训与隐形变异,Shadow Education,2024-08-01,36,0.045960258403857486,0.04651994599906042,-0.0005596875952029318,-0.055968759520293176,1.2462910772612399,-2.498699270952323,2.386761751911737,-1.2031131661550853
anylabel_share_aug2021,培训退费与机构纠纷,Refund Disputes,2021-08-01,0,0.17202693564656568,0.06390916358452967,0.10811777206203602,10.811777206203601,2.831937390388946,5.2611799210412675,16.362374491365937,169.1741309038315
anylabel_share_aug2021,培训退费与机构纠纷,Refund Disputes,2022-08-01,12,0.08885510930557736,0.09148632625306234,-0.002631216947484985,-0.2631216947484985,2.98270410101798,-6.109221732743738,5.582978343246742,-2.8760767376391505
anylabel_share_aug2021,培训退费与机构纠纷,Refund Disputes,2023-08-01,24,0.04376956594249205,0.12931926711091815,-0.0855497011684261,-8.55497011684261,4.909593941439915,-18.177774242064842,1.0678340083796227,-66.15387101989177
