specification,theme,effect_24m_pp,ci_low_24m_pp,ci_high_24m_pp,main_effect_24m_pp,same_direction_as_main,ci_excludes_zero
main_primary_share_aug2021,Schoolwork Burden,-2.2236136530299486,-6.671999831780257,2.2247725257203594,-2.2236136530299486,True,False
main_primary_share_aug2021,Shadow Education,-1.04222152098143,-2.8084050617013023,0.7239620197384423,-1.04222152098143,True,False
main_primary_share_aug2021,Refund Disputes,-9.928055770069857,-19.852093136888048,-0.0040184032516682455,-9.928055770069857,True,True
main_primary_share_aug2021,After-school Services,1.4161757753097934,0.8548289080443192,1.9775226425752677,1.4161757753097934,True,True
main_primary_share_aug2021,Family Pressure,0.7880717112546947,-0.4568986742662364,2.0330420967756258,0.7880717112546947,True,False
main_primary_share_aug2021,Student Well-being,2.080048118235406,1.021362572092111,3.138733664378701,2.080048118235406,True,True
main_primary_share_aug2021,Admissions Equity,-6.394253732522048,-11.839189529175902,-0.9493179358681936,-6.394253732522048,True,True
quadratic_primary_share_aug2021,Schoolwork Burden,5.32644227837773,1.1652376786996612,9.487646878055799,-2.2236136530299486,False,True
quadratic_primary_share_aug2021,Shadow Education,1.6596578833179938,0.7919263111576088,2.527389455478379,-1.04222152098143,False,True
quadratic_primary_share_aug2021,Refund Disputes,-39.04075986788176,-62.38587707605515,-15.695642659708376,-9.928055770069857,True,True
quadratic_primary_share_aug2021,After-school Services,-0.3625793501978114,-1.9601287412073134,1.2349700408116906,1.4161757753097934,False,False
quadratic_primary_share_aug2021,Family Pressure,-4.26883217258704,-6.531791424835727,-2.0058729203383527,0.7880717112546947,False,True
quadratic_primary_share_aug2021,Student Well-being,2.0689562250954503,-0.10007898563170713,4.237991435822607,2.080048118235406,True,False
quadratic_primary_share_aug2021,Admissions Equity,-8.45747359908814,-16.562642404275728,-0.3523047939005486,-6.394253732522048,True,True
announcement_2021_07,Schoolwork Burden,-2.2411507355194553,-6.1384479360476325,1.6561464650087225,-2.2236136530299486,True,False
announcement_2021_07,Shadow Education,-0.9780785928248659,-2.6654883349780345,0.7093311493283027,-1.04222152098143,True,False
announcement_2021_07,Refund Disputes,-7.473477559704153,-15.622091252750131,0.6751361333418249,-9.928055770069857,True,False
announcement_2021_07,After-school Services,1.0342848481205056,0.5981346358951667,1.4704350603458447,1.4161757753097934,True,True
announcement_2021_07,Family Pressure,0.7983754852890317,-0.2715196508783324,1.8682706214563958,0.7880717112546947,True,False
announcement_2021_07,Student Well-being,1.5781965025576008,0.6836129365690872,2.4727800685461148,2.080048118235406,True,True
announcement_2021_07,Admissions Equity,-5.5198292808539495,-10.312531813608256,-0.7271267480996435,-6.394253732522048,True,True
delayed_2021_09,Schoolwork Burden,-2.1764982983691423,-7.4231977674567515,3.070201170718468,-2.2236136530299486,True,False
delayed_2021_09,Shadow Education,-1.102031479144177,-2.9610851570754835,0.7570221987871297,-1.04222152098143,True,False
delayed_2021_09,Refund Disputes,-16.878043014068535,-31.42419081460137,-2.3318952135357036,-9.928055770069857,True,True
delayed_2021_09,After-school Services,1.8075178283146573,1.0935194358947453,2.5215162207345694,1.4161757753097934,True,True
delayed_2021_09,Family Pressure,0.8678560205764838,-0.5168148021796026,2.2525268433325705,0.7880717112546947,True,False
delayed_2021_09,Student Well-being,2.742695857350759,1.4399124419097262,4.045479272791792,2.080048118235406,True,True
delayed_2021_09,Admissions Equity,-6.481243716292228,-12.190709869893055,-0.7717775626914016,-6.394253732522048,True,True
anylabel_share_aug2021,Schoolwork Burden,-0.5812428043663276,-5.379075575462208,4.216589966729552,-2.2236136530299486,True,False
anylabel_share_aug2021,Shadow Education,-1.7008259375648622,-4.00782700558557,0.6061751304558459,-1.04222152098143,True,False
anylabel_share_aug2021,Refund Disputes,-8.55497011684261,-18.177774242064842,1.0678340083796227,-9.928055770069857,True,False
anylabel_share_aug2021,After-school Services,2.7162967947736094,1.8137550623078833,3.6188385272393355,1.4161757753097934,True,True
anylabel_share_aug2021,Family Pressure,0.10981436523260224,-3.3838118829845945,3.6034406134497985,0.7880717112546947,True,False
anylabel_share_aug2021,Student Well-being,1.2670879919429474,-1.727415509245829,4.261591493131724,2.080048118235406,True,False
anylabel_share_aug2021,Admissions Equity,-4.960754783905941,-10.42851615352402,0.5070065857121386,-6.394253732522048,True,False
exclude_2025_primary_share,Schoolwork Burden,0.5427389820574585,-2.6082188641242303,3.693696828239147,-2.2236136530299486,False,False
exclude_2025_primary_share,Shadow Education,-1.2438499021108582,-2.885936256667483,0.39823645244576633,-1.04222152098143,True,False
exclude_2025_primary_share,Refund Disputes,-9.086404371745479,-18.901539335748797,0.7287305922578382,-9.928055770069857,True,False
exclude_2025_primary_share,After-school Services,1.4622720410645038,0.8832334576767177,2.04131062445229,1.4161757753097934,True,True
exclude_2025_primary_share,Family Pressure,1.0073182135089849,-0.15779684011013162,2.1724332671281017,0.7880717112546947,True,False
exclude_2025_primary_share,Student Well-being,2.223789469366137,1.1891476912756445,3.25843124745663,2.080048118235406,True,True
exclude_2025_primary_share,Admissions Equity,-9.55082560128896,-13.814425427521243,-5.287225775056676,-6.394253732522048,True,True
month_fe_primary_share_aug2021,Schoolwork Burden,-2.305229557817616,-6.7909591415650645,2.1805000259298315,-2.2236136530299486,True,False
month_fe_primary_share_aug2021,Shadow Education,-0.5369192259898447,-1.526320119745925,0.4524816677662358,-1.04222152098143,True,False
month_fe_primary_share_aug2021,Refund Disputes,-9.826002595923326,-20.299847702048122,0.6478425102014753,-9.928055770069857,True,False
month_fe_primary_share_aug2021,After-school Services,0.934579008018082,0.5678522409895825,1.3013057750465815,1.4161757753097934,True,True
month_fe_primary_share_aug2021,Family Pressure,0.8113692392818659,-0.6649848711567836,2.2877233497205154,0.7880717112546947,True,False
month_fe_primary_share_aug2021,Student Well-being,1.6384315770338602,0.8620954748968034,2.414767679170917,2.080048118235406,True,True
month_fe_primary_share_aug2021,Admissions Equity,-5.851686418690871,-10.997801038048383,-0.7055717993333592,-6.394253732522048,True,True
