specification,theme_chinese,theme,date,horizon_months,predicted_with_policy,counterfactual_no_policy,effect_share,effect_pp,se_effect_pp,ci_low_pp,ci_high_pp,relative_change_pct
announcement_2021_07,学业负担与学校教学,Schoolwork Burden,2021-07-01,0,0.1080024579288536,0.14209002819893168,-0.03408757027007808,-3.408757027007808,2.501986348022735,-8.312650269132368,1.4951362151167527,-23.9901214055318
announcement_2021_07,学业负担与学校教学,Schoolwork Burden,2022-07-01,12,0.10217975697316782,0.13013619593685627,-0.02795643896368845,-2.795643896368845,1.7249475635551288,-6.176541120936897,0.5852533281992076,-21.48244672623846
announcement_2021_07,学业负担与学校教学,Schoolwork Burden,2023-07-01,24,0.09663696429155348,0.11904847164674803,-0.02241150735519455,-2.2411507355194553,1.9884169390449888,-6.1384479360476325,1.6561464650087225,-18.825531353057695
announcement_2021_07,学业负担与学校教学,Schoolwork Burden,2024-07-01,36,0.09136424617595154,0.10878728719484958,-0.017423041018898036,-1.7423041018898036,2.837340160367142,-7.303490816209401,3.8188826124297948,-16.01569583005735
announcement_2021_07,校外培训与隐形变异,Shadow Education,2021-07-01,0,0.011844311522286636,0.03654382401715662,-0.024699512494869985,-2.4699512494869986,0.8043399306812717,-4.046457513622291,-0.8934449853517059,-67.58874627700166
announcement_2021_07,校外培训与隐形变异,Shadow Education,2022-07-01,12,0.01644830222123585,0.034507811664777635,-0.018059509443541785,-1.8059509443541784,0.8490489659153543,-3.4700869175482727,-0.14181497116008412,-52.334554329260044
announcement_2021_07,校外培训与隐形变异,Shadow Education,2023-07-01,24,0.022800612266244955,0.03258139819449361,-0.009780785928248659,-0.9780785928248659,0.8609233378332493,-2.6654883349780345,0.7093311493283027,-30.01954019855922
announcement_2021_07,校外培训与隐形变异,Shadow Education,2024-07-01,36,0.0315275365905998,0.030759101436304635,0.0007684351542951648,0.07684351542951648,0.8804923021011034,-1.6489213966886462,1.8026084275476792,2.4982366792684947
announcement_2021_07,培训退费与机构纠纷,Refund Disputes,2021-07-01,0,0.1369530117776099,0.05014414872305811,0.0868088630545518,8.680886305455179,2.247179986959317,4.276413531014919,13.08535907989544,173.11862952144185
announcement_2021_07,培训退费与机构纠纷,Refund Disputes,2022-07-01,12,0.07093562167668305,0.0747988523455683,-0.003863230668885248,-0.3863230668885248,2.469403624231948,-5.226354170383143,4.453708036606093,-5.164826127327792
announcement_2021_07,培训退费与机构纠纷,Refund Disputes,2023-07-01,24,0.03543492575442464,0.11016970135146617,-0.07473477559704153,-7.473477559704153,4.157455965839785,-15.622091252750131,0.6751361333418249,-67.83605172770757
announcement_2021_07,培训退费与机构纠纷,Refund Disputes,2024-07-01,36,0.017368884647975986,0.1593852722552944,-0.1420163876073184,-14.201638760731841,6.554522136076961,-27.048502147442687,-1.3547753740209973,-89.10257867480034
announcement_2021_07,学校课后服务,After-school Services,2021-07-01,0,0.027211173714274697,0.01831065899373716,0.008900514720537538,0.8900514720537538,0.25506766355410954,0.3901188514876991,1.3899840926198084,48.60838008933378
announcement_2021_07,学校课后服务,After-school Services,2022-07-01,12,0.028233090313263806,0.018627334428196925,0.009605755885066881,0.9605755885066881,0.22306111913471247,0.5233757950026517,1.3977753820107246,51.56806478186311
announcement_2021_07,学校课后服务,After-school Services,2023-07-01,24,0.029292229400080725,0.01894938091887567,0.010342848481205057,1.0342848481205056,0.22252561848231578,0.5981346358951667,1.4704350603458447,54.58145849452233
announcement_2021_07,学校课后服务,After-school Services,2024-07-01,36,0.03038985858999105,0.019276885877729723,0.011112972712261329,1.1112972712261329,0.2602774585116223,0.6011534525433531,1.621441089908913,57.64921151035068
announcement_2021_07,家庭教育压力与时间成本,Family Pressure,2021-07-01,0,0.05823418786896025,0.05107899042192974,0.007155197447030512,0.7155197447030512,0.5719518600460018,-0.4055059009871125,1.8365453903932147,14.008102720758888
announcement_2021_07,家庭教育压力与时间成本,Family Pressure,2022-07-01,12,0.05471411373949542,0.047097116729669986,0.0076169970098254325,0.7616997009825432,0.508322071110765,-0.23461155839455614,1.7580109603596425,16.17295821641438
announcement_2021_07,家庭教育压力与时间成本,Family Pressure,2023-07-01,24,0.05139520510471406,0.04341145025182375,0.007983754852890317,0.7983754852890317,0.5458648653915122,-0.2715196508783324,1.8682706214563958,18.39089642612185
announcement_2021_07,家庭教育压力与时间成本,Family Pressure,2024-07-01,36,0.04826733874196274,0.04000210400380424,0.008265234738158503,0.8265234738158502,0.6407656262479214,-0.42937715363007556,2.0824241012617764,20.66200002223001
announcement_2021_07,学生身心健康,Student Well-being,2021-07-01,0,0.04582169922078705,0.06390395710603655,-0.018082257885249503,-1.8082257885249504,0.46283436930993715,-2.7153811523724274,-0.9010704246774736,-28.29599089653464
announcement_2021_07,学生身心健康,Student Well-being,2022-07-01,12,0.0575350194635868,0.05995459061275921,-0.002419571149172406,-0.2419571149172406,0.45340105437334965,-1.1306231814890058,0.6467089516545246,-4.0356728724914115
announcement_2021_07,学生身心健康,Student Well-being,2023-07-01,24,0.07201660370695917,0.05623463868138316,0.01578196502557601,1.5781965025576008,0.45642018672883355,0.6836129365690872,2.4727800685461148,28.064490846992367
announcement_2021_07,学生身心健康,Student Well-being,2024-07-01,36,0.08979591851277624,0.05273254808363569,0.03706337042914055,3.706337042914055,0.5097566214743863,2.707214064824258,4.7054600210038515,70.28556702846357
announcement_2021_07,招生升学与教育公平,Admissions Equity,2021-07-01,0,0.6546633276904373,0.6849902158183344,-0.030326888127897078,-3.032688812789708,3.4587396163803588,-9.81181846089521,3.746440835315795,-4.427346176275902
announcement_2021_07,招生升学与教育公平,Admissions Equity,2022-07-01,12,0.6695107518207838,0.7128724090834824,-0.04336165726269858,-4.336165726269858,2.6435243029338955,-9.517473360020293,0.8451419074805767,-6.082667348347413
announcement_2021_07,招生升学与教育公平,Admissions Equity,2023-07-01,24,0.6840279239218123,0.7392262167303518,-0.055198292808539495,-5.5198292808539495,2.445256394262401,-10.312531813608256,-0.7271267480996435,-7.4670366877253525
announcement_2021_07,招生升学与教育公平,Admissions Equity,2024-07-01,36,0.6981948691803566,0.7639620648394788,-0.06576719565912226,-6.576719565912226,2.9022078327169702,-12.265046918037488,-0.8883922137869635,-8.608699133894959
delayed_2021_09,学业负担与学校教学,Schoolwork Burden,2021-09-01,0,0.14759761220446233,0.17973040551489688,-0.03213279331043456,-3.2132793310434558,3.3020114298074255,-9.68522173346601,3.2586630713790976,-17.878329055331292
delayed_2021_09,学业负担与学校教学,Schoolwork Burden,2022-09-01,12,0.13803304787216195,0.16473430945529338,-0.026701261583131436,-2.6701261583131437,2.25997213206323,-7.099671537157075,1.7594192205307877,-16.208682739753
delayed_2021_09,学业负担与学校教学,Schoolwork Burden,2023-09-01,24,0.12899448826186546,0.1507594712455569,-0.021764982983691422,-2.1764982983691423,2.6768874842283727,-7.4231977674567515,3.070201170718468,-14.436892623641958
delayed_2021_09,学业负担与学校教学,Schoolwork Burden,2024-09-01,36,0.12046506841792053,0.13777460645829914,-0.017309538040378616,-1.7309538040378616,3.8317841824303693,-9.241250801601385,5.779343193525661,-12.563663570048208
delayed_2021_09,校外培训与隐形变异,Shadow Education,2021-09-01,0,0.013433005566279042,0.0440703408511375,-0.030637335284858458,-3.063733528485846,0.8300993588722063,-4.69072827187537,-1.4367387850963211,-69.51917024727908
delayed_2021_09,校外培训与隐形变异,Shadow Education,2022-09-01,12,0.019492277497589243,0.041581209587759425,-0.022088932090170182,-2.208893209017018,0.9001160780139539,-3.9731207219243685,-0.4446656961096685,-53.122389437830755
delayed_2021_09,校外培训与隐形变异,Shadow Education,2023-09-01,24,0.02820658274757125,0.03922689753901302,-0.01102031479144177,-1.102031479144177,0.9484967744547483,-2.9610851570754835,0.7570221987871297,-28.093771067369122
delayed_2021_09,校外培训与隐形变异,Shadow Education,2024-09-01,36,0.04065520894171063,0.03700073953802608,0.0036544694036845515,0.36544694036845515,1.0424960730268644,-1.6778453627641992,2.4087392435011097,9.876746922663024
delayed_2021_09,培训退费与机构纠纷,Refund Disputes,2021-09-01,0,0.19122070072256017,0.09941823047435593,0.09180247024820425,9.180247024820424,3.2741046597555603,2.7630018916995263,15.597492157941323,92.33967433355585
delayed_2021_09,培训退费与机构纠纷,Refund Disputes,2022-09-01,12,0.10090825689342468,0.14975232352399595,-0.04884406663057127,-4.884406663057127,4.354202324494179,-13.418643219065718,3.649829892951463,-32.61656679586986
delayed_2021_09,培训退费与机构纠纷,Refund Disputes,2023-09-01,24,0.05058221843075276,0.2193626485714381,-0.16878043014068536,-16.878043014068535,7.42150397986369,-31.42419081460137,-2.3318952135357036,-76.94128022242582
delayed_2021_09,培训退费与机构纠纷,Refund Disputes,2024-09-01,36,0.02466671817967179,0.3095500086286142,-0.2848832904489424,-28.48832904489424,10.98753008541955,-50.02388801231656,-6.9527700774719206,-92.03142707410939
delayed_2021_09,学校课后服务,After-school Services,2021-09-01,0,0.048532631985913816,0.0317066532673486,0.016825978718565213,1.6825978718565213,0.5213542008124664,0.6607436382640872,2.704452105448955,53.067659259681456
delayed_2021_09,学校课后服务,After-school Services,2022-09-01,12,0.049700831706874775,0.03225891408537792,0.017441917621496855,1.7441917621496854,0.40790924866799955,0.9446896347604065,2.5436938895389645,54.06852064311364
delayed_2021_09,学校课后服务,After-school Services,2023-09-01,24,0.05089564632299555,0.03282046803984898,0.018075178283146573,1.8075178283146573,0.3642848940917918,1.0935194358947453,2.5215162207345694,55.07288397350273
delayed_2021_09,学校课后服务,After-school Services,2024-09-01,36,0.052117609147992655,0.033391460070366724,0.01872614907762593,1.872614907762593,0.4255589189808545,1.0385194265601183,2.7067103889650683,56.080653670620606
delayed_2021_09,家庭教育压力与时间成本,Family Pressure,2021-09-01,0,0.07066195698317994,0.06393929401135777,0.006722662971822169,0.6722662971822169,0.768451372466001,-0.8338983928511451,2.1784309872155787,10.514133876154462
delayed_2021_09,家庭教育压力与时间成本,Family Pressure,2022-09-01,12,0.06690073272809449,0.05912256501938767,0.007778167708706825,0.7778167708706825,0.6712432821672485,-0.5378200621771243,2.0934536039184897,13.15600516681944
delayed_2021_09,家庭教育压力与时间成本,Family Pressure,2023-09-01,24,0.06332607038143419,0.05464751017566935,0.008678560205764838,0.8678560205764838,0.7064647054877992,-0.5168148021796026,2.2525268433325705,15.880980081007943
delayed_2021_09,家庭教育压力与时间成本,Family Pressure,2024-09-01,36,0.05993014307364025,0.05049299956167862,0.009437143511961635,0.9437143511961634,0.8262409028767472,-0.6757178184422612,2.563146520834588,18.690003750785095
delayed_2021_09,学生身心健康,Student Well-being,2021-09-01,0,0.0660213976215743,0.0847309845961437,-0.018709586974569398,-1.8709586974569397,0.7055300099262148,-3.2537975169123214,-0.48811987800155865,-22.081163182211995
delayed_2021_09,学生身心健康,Student Well-being,2022-09-01,12,0.08216919142018575,0.07941684005082864,0.0027523513693571144,0.27523513693571144,0.6825050046248708,-1.0624746721290355,1.6129449460004583,3.465702447485376
