specification,theme_chinese,theme,term,coefficient,std_error,z_value,p_value,ci_low,ci_high,n_months,converged,q_value_bh,significant_fdr_005
exclude_2025_primary_share,家庭教育压力与时间成本,Family Pressure,post_policy,0.019383285781528266,0.0981273859385765,0.1975318673388626,0.8434113461507864,-0.17294285655514383,0.21170942811820034,168,True,0.8434113461507864,False
exclude_2025_primary_share,家庭教育压力与时间成本,Family Pressure,post_time,0.0074677536604761275,0.0024076866721468764,3.1016301858818327,0.0019245822541832088,0.0027487744970111526,0.012186732823941102,168,True,0.002694415155856492,True
exclude_2025_primary_share,家庭教育压力与时间成本,Family Pressure,post_period_slope,0.0004844295520627772,0.0018010447488005388,0.26897141361168175,0.7879516809112356,-0.003045618155586279,0.0040144772597118334,168,True,,False
exclude_2025_primary_share,学生身心健康,Student Well-being,time,-0.00573894025469881,0.0006791992181027925,-8.449568406055288,2.923816492241498e-17,-0.0070701462605080485,-0.004407734248889572,168,True,,False
exclude_2025_primary_share,学生身心健康,Student Well-being,post_policy,-0.3297201751870367,0.09648864457778814,-3.4171914905615632,0.0006327075929362222,-0.5188344434765875,-0.140605906897486,168,True,0.002214476575276778,True
exclude_2025_primary_share,学生身心健康,Student Well-being,post_time,0.027158488121012146,0.002104294168110588,12.906222206278944,4.151754051955737e-38,0.02303414733863772,0.03128282890338657,168,True,2.9062278363690162e-37,True
exclude_2025_primary_share,学生身心健康,Student Well-being,post_period_slope,0.021419547866313338,0.0021160025117735086,10.12264765619807,4.383932124878419e-24,0.01727218294323726,0.025566912789389416,168,True,,False
exclude_2025_primary_share,招生升学与教育公平,Admissions Equity,time,0.011074571878513049,0.0006442740326552349,17.18922588401028,3.1977341432639143e-66,0.009811817978334405,0.012337325778691692,168,True,,False
exclude_2025_primary_share,招生升学与教育公平,Admissions Equity,post_policy,0.048925690895408706,0.1916093878337763,0.2553407818298151,0.7984599042434511,-0.32662180835856003,0.42447319014937746,168,True,0.8434113461507864,False
exclude_2025_primary_share,招生升学与教育公平,Admissions Equity,post_time,-0.019377135903228745,0.006106843426933301,-3.1730199300294557,0.001508621679954645,-0.031346329079243174,-0.007407942727214314,168,True,0.002640087939920629,True
exclude_2025_primary_share,招生升学与教育公平,Admissions Equity,post_period_slope,-0.008302564024715697,0.006258040735486165,-1.3267034165559326,0.1846068103496551,-0.02056832386626858,0.003963195816837187,168,True,,False
