architecture_id,month,top_k,synthetic_to_real_topk,real_to_synthetic_topk,bidirectional_fidelity,synthetic_to_real_random_baseline,real_to_synthetic_random_baseline,random_same_horizon_baseline,excess_fidelity,direction_gap,synthetic_n,real_unique_n
M0,2021-08,1,0.7720359392453298,0.6190448999404907,0.6955404195929102,0.5648005079741443,0.5650588274002075,0.5649296676871759,0.13061075190573435,0.15299103930483904,100,1796
M0,2021-08,5,0.7546692579778794,0.6097009181976318,0.6821850880877556,0.5648005079741443,0.5650588274002075,0.5649296676871759,0.11725542040057968,0.1449683397802476,100,1796
M0,2021-08,10,0.7444206140330804,0.6040595173835754,0.6742400657083278,0.5648005079741443,0.5650588274002075,0.5649296676871759,0.10931039802115194,0.1403610966495049,100,1796
M0,2022-02,1,0.8207172106610805,0.6009979844093323,0.7108575975352064,0.5530583964134407,0.5513489246368408,0.5522036605251408,0.15865393701006558,0.21971922625174822,100,784
M0,2022-02,5,0.7432138789207294,0.5921581983566284,0.6676860386386789,0.5530583964134407,0.5513489246368408,0.5522036605251408,0.11548237811353812,0.151055680564101,100,784
M0,2022-02,10,0.7215149262815177,0.5866103768348694,0.6540626515581935,0.5530583964134407,0.5513489246368408,0.5522036605251408,0.10185899103305274,0.13490454944664831,100,784
M0,2022-08,1,0.7431286544920436,0.600835382938385,0.6719820187152143,0.5486162232060532,0.5478634238243103,0.5482398235151817,0.1237421952000326,0.14229327155365856,100,1215
M0,2022-08,5,0.724854989178384,0.5915971398353577,0.6582260645068708,0.5486162232060532,0.5478634238243103,0.5482398235151817,0.10998624099168908,0.1332578493430263,100,1215
M0,2022-08,10,0.71309242583241,0.5858383178710938,0.6494653718517518,0.5486162232060532,0.5478634238243103,0.5482398235151817,0.10122554833657005,0.1272541079613162,100,1215
M0,2023-08,1,0.7790922678074708,0.6067983508110046,0.6929453093092377,0.5534918739206501,0.5509964823722839,0.5522441781464671,0.1407011311627706,0.17229391699646612,100,934
M0,2023-08,5,0.7223066792673619,0.596816897392273,0.6595617883298175,0.5534918739206501,0.5509964823722839,0.5522441781464671,0.1073176101833504,0.12548978187508897,100,934
M0,2023-08,10,0.7054635581680243,0.5901797413825989,0.6478216497753115,0.5534918739206501,0.5509964823722839,0.5522441781464671,0.09557747162884445,0.11528381678542543,100,934
M0,2024-08,1,0.733318866327196,0.5956507325172424,0.6644847994222192,0.54581108344522,0.5473470091819763,0.5465790463135982,0.11790575310862095,0.13766813380995357,100,679
M0,2024-08,5,0.7023736826852556,0.5873242020606995,0.6448489423729775,0.54581108344522,0.5473470091819763,0.5465790463135982,0.0982698960593793,0.11504948062455611,100,679
M0,2024-08,10,0.6888768755688421,0.5821797251701355,0.6355283003694888,0.54581108344522,0.5473470091819763,0.5465790463135982,0.0889492540558906,0.10669715039870664,100,679
M1,2021-08,1,0.7772196366964076,0.6298479437828064,0.703533790239607,0.5668323561161359,0.5678648352622986,0.5673485956892172,0.1361851945503898,0.1473716929136012,100,1796
M1,2021-08,5,0.7574234593537594,0.6171520352363586,0.687287747295059,0.5668323561161359,0.5678648352622986,0.5673485956892172,0.11993915160584179,0.1402714241174008,100,1796
M1,2021-08,10,0.7473910736941892,0.6104146242141724,0.6789028489541808,0.5668323561161359,0.5678648352622986,0.5673485956892172,0.1115542532649636,0.13697644948001686,100,1796
M1,2022-02,1,0.8203572663345942,0.6172148585319519,0.718786062433273,0.5530035936644792,0.5547177791595459,0.5538606864120126,0.16492537602126045,0.20314240780264226,100,784
M1,2022-02,5,0.7435026472537749,0.6043825149536133,0.6739425811036941,0.5530035936644792,0.5547177791595459,0.5538606864120126,0.12008189469168151,0.13912013230016163,100,784
M1,2022-02,10,0.7220708161871419,0.5965936779975891,0.6593322470923655,0.5530035936644792,0.5547177791595459,0.5538606864120126,0.1054715606803529,0.12547713818955275,100,784
M1,2022-08,1,0.7511453012700487,0.628074586391449,0.6896099438307488,0.5547877094605584,0.555213987827301,0.5550008486439297,0.13460909518681907,0.12307071487859977,100,1215
M1,2022-08,5,0.7327641415919969,0.6079955697059631,0.67037985564898,0.5547877094605584,0.555213987827301,0.5550008486439297,0.11537900700505022,0.12476857188603374,100,1215
M1,2022-08,10,0.7204956648065446,0.5981534719467163,0.6593245683766304,0.5547877094605584,0.555213987827301,0.5550008486439297,0.10432371973270071,0.12234219285982828,100,1215
M1,2023-08,1,0.7833389811034229,0.62656170129776,0.7049503412005915,0.5574285702113758,0.5583410859107971,0.5578848280610864,0.1470655131395051,0.15677727980566292,100,934
M1,2023-08,5,0.7268496761463821,0.6080381274223328,0.6674439017843574,0.5574285702113758,0.5583410859107971,0.5578848280610864,0.109559073723271,0.11881154872404931,100,934
M1,2023-08,10,0.7100757470656706,0.5983739495277405,0.6542248482967055,0.5574285702113758,0.5583410859107971,0.5578848280610864,0.09634002023561905,0.11170179753793008,100,934
M1,2024-08,1,0.7425341183315589,0.6220689415931702,0.6823015299623645,0.5549573723341987,0.5540686249732971,0.5545129986537479,0.12778853130861656,0.12046517673838875,100,679
M1,2024-08,5,0.7127023863121462,0.6053305268287659,0.659016456570456,0.5549573723341987,0.5540686249732971,0.5545129986537479,0.10450345791670812,0.10737185948338035,100,679
M1,2024-08,10,0.6989415873846846,0.5969794988632202,0.6479605431239523,0.5549573723341987,0.5540686249732971,0.5545129986537479,0.09344754447020442,0.10196208852146438,100,679
M2,2021-08,1,0.7753918237410655,0.6178264617919922,0.6966091427665289,0.5668967953278297,0.5682517290115356,0.5675742621696827,0.1290348805968462,0.15756536194907333,100,1796
M2,2021-08,5,0.7579087930841001,0.6098926663398743,0.6839007297119872,0.5668967953278297,0.5682517290115356,0.5675742621696827,0.11632646754230458,0.14801612674422582,100,1796
M2,2021-08,10,0.7478557226097423,0.6047726273536682,0.6763141749817052,0.5668967953278297,0.5682517290115356,0.5675742621696827,0.10873991281202255,0.1430830952560741,100,1796
M2,2022-02,1,0.819807285883722,0.6127443909645081,0.716275838424115,0.5507734125193173,0.5509668588638306,0.550870135691574,0.16540570273254107,0.20706289491921392,100,784
M2,2022-02,5,0.7429849320287105,0.598707377910614,0.6708461549696623,0.5507734125193173,0.5509668588638306,0.550870135691574,0.11997601927808832,0.1442775541180965,100,784
