architecture_id,top_k,synthetic_to_real_topk,real_to_synthetic_topk,bidirectional_fidelity,random_same_horizon_baseline,excess_fidelity,direction_gap
M1,1,0.7749190607472064,0.6247536063194274,0.699836333533317,0.5577215914919987,0.1421147420413182,0.15016545442777898
M2,1,0.7752975878521725,0.6177209734916687,0.6965092806719205,0.5581347425979886,0.13837453807393213,0.1575766143605038
M3,1,0.7713860634887201,0.6207105040550231,0.6960482837718717,0.5587061338539099,0.13734214991796181,0.15067555943369695
M0,1,0.7696585877066241,0.604665470123291,0.6871620289149576,0.5528392752375128,0.1343227536774448,0.1649931175833331
M1,5,0.7346484621316118,0.6085797548294067,0.6716141084805093,0.5577215914919987,0.11389251698851052,0.12606870730220515
M2,5,0.7354281287706881,0.6055211305618287,0.6704746296662584,0.5581347425979886,0.11233988706826989,0.12990699820885948
M3,5,0.7328627944520761,0.6055711150169373,0.6692169547345067,0.5587061338539099,0.1105108208805968,0.1272916794351388
M0,5,0.7294836976059221,0.5955194711685181,0.6625015843872201,0.5528392752375128,0.10966230914970732,0.133964226437404
M1,10,0.7197949778276461,0.6001030445098877,0.6599490111687669,0.5577215914919987,0.10222741967676814,0.11969193331775847
M2,10,0.7205307537066279,0.5982815623283386,0.6594061580174833,0.5581347425979886,0.10127141541949476,0.12224919137828924
M0,10,0.7146736799767749,0.5897735357284546,0.6522236078526147,0.5528392752375128,0.09938433261510196,0.1249001442483203
M3,10,0.7183284682305813,0.5977650165557862,0.6580467423931837,0.5587061338539099,0.0993406085392738,0.12056345167479506
