contrast_id,family,left_scenario,right_scenario,horizon_months,simulation_month,effect_magnitude,paired_cosine_displacement,alignment_with_full_horizon_direction,T_observed,raw_p,BH_q_secondary_40,reject_BH_0_05_secondary
state_given_information,secondary_40,P_NORM_ABC,P_ABC,24,2023-08,0.1085034598109661,0.0965463271323509,0.7692195526777676,0.1085034669212881,9.999000099990002e-05,0.0001599840015998,True
state_given_information,secondary_40,P_NORM_ABC,P_ABC,36,2024-08,0.1010741781358492,0.0975352859945718,0.7004110345587725,0.1010741772858907,9.999000099990002e-05,0.0001599840015998,True
sufficiency_A,secondary_40,P0,P_A_ONLY,0,2021-08,0.1095776423804146,0.1050999246893343,0.177290312671057,0.1095776426273957,9.999000099990002e-05,0.0001599840015998,True
sufficiency_A,secondary_40,P0,P_A_ONLY,6,2022-02,0.10197519751936,0.1035303674657646,0.6269132100072172,0.1019751939602092,9.999000099990002e-05,0.0001599840015998,True
sufficiency_A,secondary_40,P0,P_A_ONLY,12,2022-08,0.1186519586208721,0.1096057643255354,0.591255366515872,0.1186519630645798,9.999000099990002e-05,0.0001599840015998,True
sufficiency_A,secondary_40,P0,P_A_ONLY,24,2023-08,0.1036079221864115,0.0997196267885362,0.6913692296435621,0.1036079238168092,9.999000099990002e-05,0.0001599840015998,True
sufficiency_A,secondary_40,P0,P_A_ONLY,36,2024-08,0.0895323166779488,0.1092804236609648,0.5828099723217194,0.0895323175845981,0.0001999800019998,0.0003076615415381,True
sufficiency_B,secondary_40,P0,P_B_ONLY,0,2021-08,0.1085240688165081,0.1049465566966006,0.4133181117425576,0.1085240692824398,9.999000099990002e-05,0.0001599840015998,True
sufficiency_B,secondary_40,P0,P_B_ONLY,6,2022-02,0.0908956596441841,0.0928555830768408,0.6850182663550134,0.0908956574087402,9.999000099990002e-05,0.0001599840015998,True
sufficiency_B,secondary_40,P0,P_B_ONLY,12,2022-08,0.0773724152775475,0.1023417765484882,0.4729417739929811,0.0773724159668546,0.0021997800219978,0.0029330400293304,True
sufficiency_B,secondary_40,P0,P_B_ONLY,24,2023-08,0.0748663133780982,0.1054921780012515,0.5401370275034629,0.0748663151666422,0.0110988901109889,0.013453200134532,True
sufficiency_B,secondary_40,P0,P_B_ONLY,36,2024-08,0.080293960784794,0.100435564445165,0.6222196566977686,0.0802939605698029,0.0002999700029997,0.000444400004444,True
sufficiency_C,secondary_40,P0,P_C_ONLY,0,2021-08,0.270243979324282,0.134149242817622,0.9322077685822108,0.2702439877337981,9.999000099990002e-05,0.0001599840015998,True
sufficiency_C,secondary_40,P0,P_C_ONLY,6,2022-02,0.1619898358386009,0.1040339301216997,0.8496298216367556,0.1619898401333607,9.999000099990002e-05,0.0001599840015998,True
sufficiency_C,secondary_40,P0,P_C_ONLY,12,2022-08,0.1891930325368241,0.1171701522237899,0.8874132831922352,0.1891930358071762,9.999000099990002e-05,0.0001599840015998,True
sufficiency_C,secondary_40,P0,P_C_ONLY,24,2023-08,0.191881205720857,0.1153124198762762,0.9086856487304116,0.1918812133205534,9.999000099990002e-05,0.0001599840015998,True
sufficiency_C,secondary_40,P0,P_C_ONLY,36,2024-08,0.190420662825734,0.111974140675514,0.8856094149165828,0.1904206689508585,9.999000099990002e-05,0.0001599840015998,True
necessity_A,secondary_40,P_ABC_MINUS_A_STATE,P_ABC,0,2021-08,0.0,1.4294198782987396e-08,,0.0,1.0,1.0,False
